towncode,一般工廠,監督工廠,countyname,townname,latitude,longitude
10002010,94.0,,宜蘭縣,宜蘭市,24.750315150340693,121.75692348870356
10002020,48.0,,宜蘭縣,羅東鎮,24.678942258501166,121.77018347070694
10002030,258.0,6.0,宜蘭縣,蘇澳鎮,24.556543234416655,121.83631310980583
10002040,44.0,,宜蘭縣,頭城鎮,24.90263199520958,121.84307265799198
10002050,43.0,,宜蘭縣,礁溪鄉,24.811533659812227,121.73467246256615
10002060,14.0,,宜蘭縣,壯圍鄉,24.751889688309298,121.80176549629584
10002070,46.0,,宜蘭縣,員山鄉,24.74208231225914,121.66122593325925
10002080,256.0,3.0,宜蘭縣,冬山鄉,24.642240986122253,121.76026677381905
10002090,194.0,1.0,宜蘭縣,五結鄉,24.689129420223896,121.80608643931413
10002100,51.0,,宜蘭縣,三星鄉,24.66781007562712,121.66429672640288
10002120,3.0,1.0,宜蘭縣,南澳鄉,24.441274711299734,121.66603864615072
10004010,459.0,,新竹縣,竹北市,24.838538467031988,120.99408811172775
10004020,161.0,,新竹縣,竹東鎮,24.73087931703422,121.0753428761534
10004030,82.0,,新竹縣,新埔鎮,24.841445034009887,121.09398433124144
10004040,51.0,1.0,新竹縣,關西鎮,24.785245469080785,121.18660089583543
10004050,651.0,1.0,新竹縣,湖口鄉,24.885766721777117,121.05170353804036
10004060,211.0,,新竹縣,新豐鄉,24.907483968559564,120.99472986084997
10004070,65.0,,新竹縣,芎林鄉,24.765809743595693,121.10463863209547
10004080,32.0,1.0,新竹縣,橫山鄉,24.70791358042005,121.14698056607772
10004090,17.0,,新竹縣,北埔鄉,24.67218370121563,121.06427098622136
10004100,115.0,,新竹縣,寶山鄉,24.737066613971717,120.99915228715088
10004110,9.0,,新竹縣,峨眉鄉,24.67821166262212,121.01107757147975
10005010,115.0,1.0,苗栗縣,苗栗市,24.563927949735096,120.81122353960693
10005020,194.0,,苗栗縣,苑裡鎮,24.411473835931005,120.68788667643432
10005030,92.0,2.0,苗栗縣,通霄鎮,24.486103316201426,120.71375633532597
10005040,503.0,1.0,苗栗縣,竹南鎮,24.69924816371924,120.87600934113583
10005050,315.0,1.0,苗栗縣,頭份市,24.676389979173134,120.91895216953709
10005060,92.0,,苗栗縣,後龍鎮,24.61723739059462,120.77898675179378
10005070,9.0,,苗栗縣,卓蘭鎮,24.32538494326238,120.85604311385777
10005080,14.0,,苗栗縣,大湖鄉,24.39379535281599,120.86314267578611
10005090,90.0,,苗栗縣,公館鄉,24.50260549170515,120.85058893513416
10005100,189.0,,苗栗縣,銅鑼鄉,24.45602615922704,120.79920192725007
10005110,6.0,,苗栗縣,南庄鄉,24.566203978236615,121.01748513560352
10005120,32.0,,苗栗縣,頭屋鄉,24.57356921722933,120.88266332156543
10005130,70.0,,苗栗縣,三義鄉,24.380927148999525,120.7701919483309
10005140,12.0,1.0,苗栗縣,西湖鄉,24.541637016726597,120.76141055055804
10005150,78.0,,苗栗縣,造橋鄉,24.624921482433823,120.86955626628055
10005160,19.0,,苗栗縣,三灣鄉,24.636092663771013,120.95256435988551
10005170,5.0,,苗栗縣,獅潭鄉,24.519912637752594,120.9206875920274
10007010,1570.0,1.0,彰化縣,彰化市,24.075425739625913,120.56938957725947
10007020,1233.0,,彰化縣,鹿港鎮,24.084133711045208,120.42639260845091
10007030,1379.0,,彰化縣,和美鎮,24.113869516594402,120.51120443546434
10007040,346.0,2.0,彰化縣,線西鄉,24.137710477962965,120.44194107684801
10007050,473.0,1.0,彰化縣,伸港鄉,24.17062974181776,120.47396127441789
10007060,625.0,,彰化縣,福興鄉,24.03305088202763,120.42277089733679
10007070,579.0,,彰化縣,秀水鄉,24.032582593951126,120.50410819051116
10007080,522.0,,彰化縣,花壇鄉,24.030161372097275,120.55975404754747
10007090,98.0,,彰化縣,芬園鄉,24.006367991722723,120.6294477240422
10007100,489.0,,彰化縣,員林市,23.956602150392385,120.59309030424
10007110,380.0,,彰化縣,溪湖鎮,23.95180214147992,120.48318286925128
10007120,168.0,,彰化縣,田中鎮,23.8573419172744,120.5903528570315
10007130,301.0,,彰化縣,大村鄉,23.992184718850165,120.55868204971547
10007140,390.0,,彰化縣,埔鹽鄉,23.99212584152507,120.4594382923849
10007150,338.0,,彰化縣,埔心鄉,23.9528718270021,120.5342696414279
10007160,178.0,,彰化縣,永靖鄉,23.921493990856334,120.54159842017114
10007170,362.0,,彰化縣,社頭鄉,23.905458893569325,120.60220315356
10007180,37.0,,彰化縣,二水鄉,23.8093186046986,120.62860231511635
10007190,208.0,,彰化縣,北斗鎮,23.86767124541401,120.53316204942085
10007200,136.0,2.0,彰化縣,二林鎮,23.916301034778616,120.40421760952498
10007210,82.0,,彰化縣,田尾鄉,23.90065687704634,120.52232464362993
10007220,236.0,,彰化縣,埤頭鄉,23.88243744643001,120.46755802914447
10007230,193.0,,彰化縣,芳苑鄉,23.957951518638126,120.34083000793021
10007240,30.0,,彰化縣,大城鄉,23.859438584400394,120.29523858278446
10007250,44.0,,彰化縣,竹塘鄉,23.850682224510088,120.41364954893494
10007260,94.0,1.0,彰化縣,溪州鄉,23.827342336032533,120.52248801151774
10008010,360.0,,南投縣,南投市,23.92180214294184,120.67881223912843
10008020,78.0,,南投縣,埔里鎮,23.97900864391717,120.96256975014656
10008030,183.0,,南投縣,草屯鎮,23.98336421119014,120.73210070516815
10008040,82.0,,南投縣,竹山鎮,23.69818777400835,120.71010119736606
10008050,11.0,,南投縣,集集鎮,23.837087774112774,120.78528709293978
10008060,55.0,,南投縣,名間鄉,23.851173916477062,120.67744961721657
10008070,4.0,,南投縣,鹿谷鄉,23.737882782925844,120.78152961398179
10008080,3.0,,南投縣,中寮鄉,23.906051308065965,120.78601831627927
10008090,7.0,,南投縣,魚池鄉,23.876086860272178,120.92572599731592
10008100,4.0,,南投縣,國姓鄉,24.031329506925275,120.86754560326251
10008110,9.0,,南投縣,水里鄉,23.79627009087498,120.86227436762464
10008120,1.0,,南投縣,信義鄉,23.655609390252625,121.02135148041422
10008130,1.0,,南投縣,仁愛鄉,24.0287038739323,121.14445169191417
10009010,497.0,1.0,雲林縣,斗六市,23.706610222298632,120.56008286698308
10009020,212.0,,雲林縣,斗南鎮,23.670767993017442,120.48262591153916
10009030,238.0,,雲林縣,虎尾鎮,23.716709572566366,120.42930319987354
10009040,107.0,,雲林縣,西螺鎮,23.779520445616352,120.45807376923445
10009050,71.0,,雲林縣,土庫鎮,23.69120349726242,120.3647172458171
10009060,76.0,,雲林縣,北港鎮,23.592288042704244,120.29400493499628
10009070,45.0,,雲林縣,古坑鄉,23.625569551267603,120.61170658323354
10009080,77.0,,雲林縣,大埤鄉,23.645685148642972,120.42555271442781
10009090,117.0,,雲林縣,莿桐鄉,23.769828185819723,120.52903163994507
10009100,54.0,,雲林縣,林內鄉,23.755867668004587,120.61548626206326
