abbr,cno,latitude,longitude,towncode
台灣中油股份有限公司煉製事業部大林煉油廠,E5600056,22.524594,120.361233,64000110
台灣電力股份有限公司大林發電廠,E5600896,22.534898,120.334166,64000110
中國石油化學工業開發股份有限公司小港廠,E5600850,22.53567,120.364542,64000110
台灣中油股份有限公司煉製事業部大林煉油廠,E5600056,22.538249,120.368222,64000110
台灣中油股份有限公司煉製事業部大林煉油廠,E5600056,22.542042,120.3732,64000110
台灣中油股份有限公司煉製事業部大林煉油廠,E5600056,22.542156,120.38044,64000110
高雄市政府環境保護局南區資源回收廠,E5602998,22.552065,120.376077,64000110
中國鋼鐵股份有限公司,E5600841,22.554391,120.348857,64000110
龍慶鋼鐵企業股份有限公司,E5600798,22.556164,120.367904,64000110
台灣中油股份有限公司煉製事業部大林煉油廠,E5600056,22.556982,120.370837,64000110
協勝發鋼鐵廠股份有限公司,E5600332,22.559275,120.365897,64000110
協勝發鋼鐵廠股份有限公司,E5600332,22.560423,120.364979,64000110
錦州科技股份有限公司大發廠,E2000554,22.576059,120.422758,64000140
台灣電力股份有限公司南部發電廠,E5400878,22.599455,120.30226,64000090
高雄市政府環境保護局中區資源回收廠,E5002890,22.66585,120.33126,64000050
東南水泥股份有限公司,E4900744,22.729536,120.321914,64000040
臺南市城西垃圾焚化廠,D3202577,23.045718,120.075421,67000350
倫鼎股份有限公司,L0056153,24.070483,120.633019,66000230
中龍鋼鐵股份有限公司,L0200633,24.201976,120.499032,66000250
中龍鋼鐵股份有限公司,L0200633,24.203352,120.507683,66000250
中龍鋼鐵股份有限公司,L0200633,24.21033,120.505017,66000250
中美和石油化學股份有限公司台中廠,L9101748,24.261336,120.496638,66000140
正隆股份有限公司后里分公司,L9200693,24.286952,120.723079,66000150
正隆股份有限公司后里分公司,L9200693,24.287889,120.725563,66000150
建順煉鋼股份有限公司,K7000513,24.472268,120.669871,10005030
台灣電力股份有限公司通霄發電廠,K7000764,24.490842,120.674472,10005030
東和鋼鐵企業股份有限公司苗栗廠,K8100129,24.569246,120.74034,10005140
台灣水泥股份有限公司蘇澳廠,G3200778,24.588206,121.852415,10002030
長春石油化學股份有限公司苗栗廠,K6801089,24.59302,120.810768,10005010
信大水泥股份有限公司南聖湖廠,G3200849,24.599788,121.834144,10002030
羅東鋼鐵廠股份有限公司煉鋼廠,G32A0540,24.624056,121.818336,10002030
臺灣化學纖維股份有限公司龍德廠,G3700791,24.626236,121.813349,10002080
潤泰精密材料股份有限公司宜蘭冬山廠,G37A0585,24.629169,121.783654,10002080
臺灣化學纖維股份有限公司龍德廠,G3700791,24.631018,121.817824,10002080
臺灣化學纖維股份有限公司龍德廠,G3700791,24.631975,121.827333,10002030
宜蘭縣利澤垃圾資源回收(焚化)廠,G3801239,24.659949,121.835365,10002090
中國石油化學工業開發股份有限公司頭份廠,K7201001,24.677625,120.897129,10005050
裕鼎股份有限公司,K7107366,24.687572,120.859644,10005040
亞洲水泥股份有限公司新竹製造廠,J6000230,24.72176,121.136377,10004080
新桃電力股份有限公司,J5601064,24.81411,121.199046,10004040
新北市政府環境保護局新店垃圾焚化廠,F0501686,24.958428,121.497052,65000060
新北市政府環境保護局樹林垃圾焚化廠,F0703948,24.967275,121.380049,65000070
南亞塑膠工業股份有限公司樹林廠,F0701702,24.973496,121.404453,65000070
永豐餘工業用紙股份有限公司新屋廠,H5200215,24.979694,121.03916,68000110
永豐餘工業用紙股份有限公司新屋廠,H5200215,24.981603,121.040172,68000110
欣榮企業股份有限公司,H4307715,24.992225,121.248847,68000020
台灣電力股份有限公司大潭發電廠,H5307960,25.029662,121.051065,68000120
台灣中油股份有限公司煉製事業部桃園煉油廠,H4803507,25.032876,121.303476,68000070
岦陞股份有限公司,H53A6297,25.035426,121.059085,68000120
國光電力股份有限公司,H4810799,25.042391,121.342149,68000070
南亞塑膠工業股份有限公司林口二廠,F1600491,25.047159,121.414995,65000160
東和鋼鐵企業股份有限公司桃園廠,H53A0675,25.047918,121.141466,68000120
亞東石化股份有限公司觀音二廠,H53A3580,25.049475,121.109066,68000120
南亞塑膠工業股份有限公司林口二廠,F1600491,25.051303,121.415293,65000160
南亞塑膠工業股份有限公司錦興廠,H4601398,25.055015,121.282744,68000050
華亞汽電股份有限公司華亞汽電廠,H4810851,25.055335,121.356363,68000070
臺北市政府環境保護局內湖垃圾焚化廠,A4200130,25.064302,121.606935,63000100
正隆股份有限公司大園廠,H4700645,25.070034,121.178697,68000060
